created_at,fan_activation
2026-03-04T20:02:32+00:00,1
2026-03-04T20:07:51+00:00,1
2026-03-04T20:12:40+00:00,1
2026-03-04T20:17:47+00:00,1
2026-03-04T20:27:35+00:00,1
2026-03-04T20:32:34+00:00,1
2026-03-04T20:37:44+00:00,1
2026-03-04T20:42:33+00:00,1
2026-03-04T20:47:57+00:00,1
2026-03-04T20:52:48+00:00,1
2026-03-04T20:58:02+00:00,1
2026-03-04T21:02:45+00:00,1
2026-03-04T21:08:07+00:00,1
2026-03-04T21:12:55+00:00,1
2026-03-04T21:22:37+00:00,1
2026-03-04T21:27:33+00:00,1
2026-03-04T21:32:32+00:00,1
2026-03-04T21:37:42+00:00,1
2026-03-04T21:42:39+00:00,1
2026-03-04T21:47:36+00:00,1
2026-03-04T21:52:33+00:00,1
2026-03-04T22:02:55+00:00,1
2026-03-04T22:07:34+00:00,1
2026-03-04T22:13:08+00:00,1
2026-03-04T22:17:34+00:00,1
2026-03-04T22:22:31+00:00,1
2026-03-04T22:27:30+00:00,1
2026-03-04T22:32:32+00:00,1
2026-03-04T22:37:33+00:00,1
2026-03-04T22:42:32+00:00,1
2026-03-04T22:47:34+00:00,1
2026-03-04T22:52:44+00:00,1
2026-03-04T22:57:32+00:00,1
2026-03-04T23:02:33+00:00,1
2026-03-04T23:07:43+00:00,1
2026-03-04T23:12:44+00:00,1
2026-03-04T23:22:44+00:00,1
2026-03-04T23:27:44+00:00,1
2026-03-04T23:37:59+00:00,1
2026-03-04T23:42:35+00:00,1
2026-03-04T23:47:49+00:00,1
2026-03-04T23:52:32+00:00,1
2026-03-04T23:57:53+00:00,1
2026-03-05T00:02:33+00:00,0
2026-03-05T00:07:41+00:00,0
2026-03-05T00:12:34+00:00,0
2026-03-05T00:17:36+00:00,1
2026-03-05T00:22:34+00:00,0
2026-03-05T00:32:34+00:00,0
2026-03-05T00:37:33+00:00,0
2026-03-05T00:42:41+00:00,0
2026-03-05T00:47:34+00:00,0
2026-03-05T00:52:40+00:00,0
2026-03-05T00:57:32+00:00,0
2026-03-05T01:02:54+00:00,0
2026-03-05T01:07:32+00:00,0
2026-03-05T01:12:37+00:00,0
2026-03-05T01:17:31+00:00,0
2026-03-05T01:22:34+00:00,0
2026-03-05T01:27:52+00:00,0
2026-03-05T01:32:32+00:00,0
2026-03-05T01:38:00+00:00,0
2026-03-05T01:42:46+00:00,0
